Model Category,Display Name,Asset tag,Fixed Asset Number,Location Name,PO number,Supplier,Status,Substate,Purchase date,Receipt date,Warranty end date,Retired date,Scheduled retirement,Management
Computer Desktop,LENOVO ThinkCentre M80s Gen 3,BD10-1Y8L5QC,60010003139,BD PL Sreepur/BD PL SREEPUR B1 F00 UTILITY ROOM,4556977474,Thakral Infromation Systems,In use,shared,2022-12-28 00:00:00,,2026-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Desktop,LENOVO ThinkCentre M80s Gen 3,BD10-5Z36VCP,60010003137,BD PL Sreepur/BD PL SREEPUR B1 F00 DRY FILLING AREA,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2026-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Desktop,LENOVO ThinkCentre M80s Gen 3,BD10-6KN715Y,60010003133,BD PL Sreepur/BD PL SREEPUR B1 F00 QUALITY ASSURANCE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2026-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Desktop,LENOVO ThinkCentre M80s Gen 3,BD10-BB7OTF5,60010003134,BD PL Sreepur/BD PL SREEPUR DATA ENTRY,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2026-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Desktop,LENOVO ThinkCentre M80s Gen 3,BD10-C8LQJ0C,60010003135,BD PL Sreepur/BD PL SREEPUR B1 F00 QUALITY ASSURANCE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2026-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Desktop,LENOVO ThinkCentre M80s Gen 3,BD10-OU2SB4V,60010003138,BD PL Sreepur/BD PL SREEPUR B1 F00 QUALITY ASSURANCE,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2026-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Desktop,LENOVO ThinkCentre M80s Gen 3,BD10-P3KDG18,60010003136,BD PL Sreepur/BD PL SREEPUR B1 F00 NOODLES LINE AREA,4556977474,Thakral Infromation Systems,In use,"",2022-12-28 00:00:00,,2026-12-27 00:00:00,,2026-12-27 00:00:00,9 - MANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-40T6YP3,60010003060,BD HO Dhaka/BD VENDOR FOR FIX,4556977474,Thakral Infromation Systems,In maintenance,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,0 - UNMANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-W3G6SQ8,60010003081,BD HO Dhaka/BD VENDOR FOR FIX,4556977474,Thakral Infromation Systems,In maintenance,"",2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,0 - UNMANAGED
Computer Laptop,LENOVO ThinkPad T14 Gen 2 (Intel),BD10-1MP0UH2,60010003095,BD HO Dhaka/6004679 LEVEL-6,4556977474,Thakral Infromation Systems,In stock,pending_repair,2022-12-28 00:00:00,,2025-12-27 00:00:00,,2025-12-27 00:00:00,9 - MANAGED
